generation,parent_idx,lineage_id,m_active,A_delta_fro,condition_number_after,shrink_applied,psd_fallback,active_js,v_norms
11,14,174,1,0.015830258788642006,1.6222313438704294,True,False,[12],[0.12140636227814551]
11,15,137,2,0.010296940723764445,1.3147396947247985,True,False,"[8, 12]","[0.07398959054482027, 0.046230221141714246]"
11,17,257,2,0.03742568976117899,1.3629356748020414,True,False,"[8, 15]","[0.039241065478383685, 0.06053958348358493]"
11,18,106,1,0.01543117254769768,1.2170946360394128,True,False,[7],[0.0836775879779488]
11,19,259,2,0.02062839327320328,1.1229371744765229,True,False,"[7, 15]","[0.05950111452591077, 0.06334417484197863]"
11,21,115,3,0.013867383395446716,1.1437765160610718,True,False,"[7, 8, 15]","[0.07770595776729995, 0.09797888104153762, 0.05722366121734571]"
11,22,27,1,0.015449895618528971,1.189054266961703,True,False,[12],[0.030152335088173363]
11,23,227,2,0.013152821718264042,1.3747838375988697,True,False,"[7, 16]","[0.05147759880414679, 0.04297199718736129]"
12,0,58,1,0.014933876432973404,1.348405695208627,True,False,[15],[0.08219500248797584]
12,1,86,2,0.011028924554993706,1.4827466569480505,True,False,"[8, 15]","[0.03918659901706597, 0.05537019271958039]"
12,2,154,3,0.012386581086375349,1.2166545182767023,True,False,"[7, 8, 15]","[0.06280718867992009, 0.07540647025042557, 0.08470566843743536]"
12,3,178,1,0.0143277182241363,1.2772321637502801,True,False,[11],[0.042480242222150424]
12,4,164,3,0.0129578204352366,1.3206817050498356,True,False,"[8, 15, 16]","[0.12067891241788821, 0.05655415148735048, 0.060101303235136204]"
12,5,146,1,0.014982628332327112,1.1596798696402868,True,False,[8],[0.07810247989421573]
12,6,186,1,0.0136109656840258,1.2474267215122312,True,False,[12],[0.054319996282174925]
12,10,200,1,0.015903764179069153,1.2813248499623908,True,False,[7],[0.07773445360016482]
12,11,239,1,0.09993855645319871,1.5732104233334931,True,False,[15],[0.08244163372423408]
12,12,156,2,0.015946750838278664,1.3136348466010475,True,False,"[8, 15]","[0.10634854124249658, 0.11678099196192851]"
12,13,219,1,0.014246557284141495,1.285203069198504,True,False,[15],[0.03787068419297581]
12,14,174,1,0.014895554254038514,1.6339431498091685,True,False,[5],[0.04869630622836029]
12,16,0,2,0.014234479625946149,1.0830022668384849,True,False,"[6, 16]","[0.04816241277445385, 0.039043328077050854]"
12,17,283,1,0.03337343964971983,1.1384861928574628,True,False,[5],[0.0547172280158273]
12,18,257,1,0.015781473050574698,1.3664153829940877,True,False,[5],[0.0541514692082837]
12,19,106,1,0.01536745896206557,1.2214778626761416,True,False,[15],[0.09568548202365387]
12,20,259,2,0.01413814830662469,1.1187695697442614,True,False,"[8, 15]","[0.04985525385606839, 0.037936671511961916]"
12,21,115,3,0.014649914011138144,1.1584806872533546,True,False,"[7, 8, 15]","[0.08757743471401835, 0.10588260745826478, 0.07492630665676721]"
12,22,27,1,0.015127990774377712,1.2068234808990599,True,False,[15],[0.048837226617062364]
