generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
62,20,20,24,0.8333333333333334,0,0,1.5,0.01207503526312215,0.015210638325586018,True,18,"[0, 0, 0, 0, 0, 1, 0, 9, 8, 0, 0, 1, 1, 0, 0, 3, 4, 3]"
63,18,18,24,0.75,0,0,1.2777777777777777,0.013510271278834887,0.025087433737444546,True,18,"[0, 0, 0, 0, 0, 4, 1, 4, 6, 0, 0, 0, 2, 0, 0, 2, 2, 2]"
64,19,19,24,0.7916666666666666,0,0,1.4736842105263157,0.019215813034651738,0.14829631173378813,True,18,"[0, 0, 0, 0, 0, 3, 1, 8, 5, 0, 0, 1, 2, 0, 0, 5, 1, 2]"
65,19,19,24,0.7916666666666666,0,0,1.736842105263158,0.011383778341916492,0.014406308926224007,True,18,"[0, 0, 0, 0, 0, 3, 1, 9, 6, 0, 0, 0, 5, 0, 0, 7, 1, 1]"
66,16,16,24,0.6666666666666666,0,0,1.4375,0.012455068015173976,0.018200197526243272,True,18,"[0, 0, 0, 0, 0, 4, 0, 5, 4, 0, 0, 1, 2, 0, 0, 6, 1, 0]"
67,22,22,24,0.9166666666666666,0,0,1.3636363636363635,0.012320866714257372,0.01504478303552983,True,18,"[0, 0, 0, 0, 0, 2, 0, 9, 10, 0, 0, 1, 3, 0, 0, 4, 0, 1]"
68,20,20,24,0.8333333333333334,0,0,1.3,0.012531120118067344,0.016735972167283158,True,18,"[0, 0, 0, 0, 0, 2, 0, 7, 9, 0, 0, 1, 2, 0, 0, 2, 1, 2]"
69,22,22,24,0.9166666666666666,0,0,1.3181818181818181,0.012107518864199758,0.014182778946649982,True,18,"[0, 0, 0, 0, 0, 4, 0, 7, 7, 0, 0, 0, 2, 0, 0, 5, 2, 2]"
70,16,16,24,0.6666666666666666,0,0,1.25,0.012700192506142308,0.014390621191119434,True,18,"[0, 0, 0, 0, 0, 6, 0, 7, 2, 0, 0, 0, 2, 0, 0, 1, 0, 2]"
71,18,18,24,0.75,0,0,1.2777777777777777,0.014392535301720827,0.0322338917508332,True,18,"[0, 0, 0, 0, 0, 3, 0, 7, 7, 0, 0, 1, 1, 0, 0, 2, 1, 1]"
72,19,19,24,0.7916666666666666,0,0,1.5789473684210527,0.011459587515592493,0.014320043072519923,True,18,"[0, 0, 0, 0, 0, 1, 0, 9, 7, 0, 0, 2, 4, 0, 0, 5, 1, 1]"
73,17,17,24,0.7083333333333334,0,0,1.588235294117647,0.012631442152030412,0.03595983001135186,True,18,"[0, 0, 0, 0, 0, 0, 0, 10, 8, 0, 0, 0, 4, 0, 0, 1, 0, 4]"
74,19,19,24,0.7916666666666666,0,0,1.5263157894736843,0.01225367810276864,0.01791504952090707,True,18,"[0, 0, 0, 0, 0, 1, 1, 9, 5, 0, 0, 1, 4, 0, 0, 6, 1, 1]"
75,17,17,24,0.7083333333333334,0,0,1.4705882352941178,0.01495470946222921,0.05679266169453252,True,18,"[0, 0, 0, 0, 0, 1, 0, 9, 5, 0, 0, 1, 3, 0, 0, 5, 0, 1]"
76,16,16,24,0.6666666666666666,0,0,1.375,0.017025914685316945,0.07294566651729877,True,18,"[0, 0, 0, 0, 0, 3, 1, 4, 4, 0, 1, 0, 4, 0, 0, 1, 2, 2]"
77,18,18,24,0.75,0,0,1.4444444444444444,0.012786312539919308,0.0329549208521973,True,18,"[0, 0, 0, 0, 0, 1, 1, 12, 3, 0, 0, 1, 3, 0, 0, 3, 0, 2]"
78,17,17,24,0.7083333333333334,0,0,1.6470588235294117,0.01947911911889146,0.0807178844313137,True,18,"[0, 0, 0, 0, 0, 2, 0, 9, 7, 0, 0, 0, 3, 0, 0, 5, 1, 1]"
79,20,20,24,0.8333333333333334,0,0,1.3,0.012247041392603788,0.015817444718208493,True,18,"[0, 0, 0, 0, 0, 2, 1, 5, 6, 0, 0, 2, 2, 0, 0, 6, 1, 1]"
80,18,18,24,0.75,0,0,1.2777777777777777,0.012505232168173444,0.017039183532410716,True,18,"[0, 0, 0, 0, 0, 2, 1, 7, 4, 0, 0, 0, 2, 0, 0, 4, 2, 1]"
81,15,15,24,0.625,0,0,1.5333333333333334,0.011648798409375076,0.02047148716175193,True,18,"[0, 0, 0, 0, 0, 1, 0, 8, 5, 0, 0, 1, 1, 0, 0, 3, 0, 4]"
82,16,16,24,0.6666666666666666,0,0,1.3125,0.011785534372933455,0.015410141057543316,True,18,"[0, 0, 0, 0, 0, 3, 0, 7, 1, 0, 0, 0, 5, 0, 0, 4, 0, 1]"
83,17,17,24,0.7083333333333334,0,0,1.4705882352941178,0.013576984564741216,0.02782037642417894,True,18,"[0, 0, 0, 0, 0, 2, 0, 6, 6, 0, 0, 1, 2, 0, 0, 4, 2, 2]"
84,18,18,24,0.75,0,0,1.5555555555555556,0.01350742918845385,0.0329472557367656,True,18,"[0, 0, 0, 0, 0, 1, 1, 11, 4, 0, 0, 1, 3, 0, 0, 2, 2, 3]"
85,16,16,24,0.6666666666666666,0,0,1.0625,0.012946658740050635,0.01743988548979407,True,18,"[0, 0, 0, 0, 0, 6, 1, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
86,16,16,24,0.6666666666666666,0,0,1.125,0.01632611415118156,0.0665725106319021,True,18,"[0, 0, 0, 0, 0, 2, 1, 5, 4, 0, 0, 0, 1, 0, 0, 4, 0, 1]"
