generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile
186,0,False,0.7236007450238096,[-1318.3336417233784],[0.0],[0.0],0.0,-1572.398052569972,-727.7963253245373,217.71214853802914,24,0.0,24,True,0.75
187,0,False,0.7234281838214285,[-1295.1003083900448],[0.0],[0.0],0.0,-1549.1647192366383,-704.5629919912037,216.90996689891702,24,0.0,24,True,0.75
188,0,False,0.7224801073416149,[-1271.754244744168],[0.0],[0.0],0.0,-1525.9313859033052,-681.3296586578706,216.62378728697266,24,0.0,23,True,0.75
189,0,False,0.7229291147738096,[-1248.6336417233783],[0.0],[0.0],0.0,-1502.6980525699719,-658.0963253245372,216.68555170748863,24,0.0,24,True,0.75
190,0,False,0.7224068828441559,[-1225.1748477649576],[0.0],[0.0],0.0,-1492.9796657645988,-634.8629919912037,218.33387559666494,24,0.0,22,True,0.75
191,0,False,0.7236442519130435,[-1202.5802379708762],[0.0],[0.0],0.0,-1469.7463324312657,-611.6296586578706,219.38765106711975,24,0.0,23,True,0.75
192,0,False,0.7339463363850932,[-1179.3469046375428],[0.0],[0.0],0.0,-1431.991710107932,-588.3963253245372,215.75113849485848,24,0.0,23,True,0.75
193,0,False,0.730872186654762,[-1157.2026657113745],[0.0],[0.0],0.0,-1408.758376774599,-565.1629919912041,212.9372968250131,24,0.0,24,True,0.75
194,0,False,0.7274776047080745,[-1140.5935850596138],[0.0],[0.0],0.0,-1385.5250434412653,-541.9296586578705,213.3920091480718,24,0.0,23,True,0.75
195,0,False,0.7264152223690475,[-1120.4658732559515],[0.0],[0.0],0.0,-1362.291710107932,-518.6963253245372,213.2745486925513,24,0.0,24,True,0.75
196,0,False,0.7286836914166667,[-1097.2325399226183],[0.0],[0.0],0.0,-1339.0583767745986,-495.4629919912038,213.3273127541636,24,0.0,24,True,0.75
197,0,False,0.7265102342738095,[-1122.1567462137505],[0.0],[0.0],0.0,-1315.8250434412653,-472.22965865787046,213.8910467792157,24,0.0,24,True,0.75
198,0,False,0.7239975960124222,[-1130.4869581093512],[0.0],[0.0],0.0,-1294.7308707685936,-448.99632532453757,216.77966676224102,24,0.0,23,True,0.75
199,0,False,0.7149596080833334,[-1075.9138107317374],[0.0],[0.0],0.0,-1269.3583767745986,-425.76299199120376,217.29219443697588,24,0.0,24,True,0.75
200,0,False,0.7148847199880951,[-1052.680477398404],[0.0],[0.0],0.0,-1260.2660056253906,-402.5296586578704,218.33128795836592,24,0.0,24,True,0.75
201,0,False,0.7140081289659863,[-969.9463720359222],[0.0],[0.0],0.0,-1237.0326722920577,-379.2963253245375,216.95732716906065,24,0.0,21,True,0.75
202,0,False,0.7165842233416149,[-946.3372418535439],[0.0],[0.0],0.0,-1213.7993389587239,-356.0629919912037,220.06621784378322,24,0.0,23,True,0.75
203,0,False,0.7163644767577639,[-923.1039085202106],[0.0],[0.0],0.0,-1190.5660056253905,-332.82965865787037,218.8158866266142,24,0.0,23,True,0.75
204,0,False,0.7034774678012422,[-899.8705751868777],[0.0],[0.0],0.0,-1167.3326722920576,-317.9488555137093,220.45269644351848,24,0.0,23,True,0.75
205,0,False,0.7046031887857143,[-876.8251402780661],[0.0],[0.0],0.0,-1144.0993389587238,-294.7155221803755,220.9742487077134,24,0.0,24,True,0.75
206,0,False,0.704554830452381,[-853.5918069447332],[0.0],[0.0],0.0,-1120.866005625391,-271.4821888470426,220.9773296407983,24,0.0,24,True,0.75
207,0,False,0.7048696536785716,[-832.2734040219357],[0.0],[0.0],0.0,-1097.6326722920574,-248.24885551370903,218.24984369625722,24,0.0,24,True,0.75
208,0,False,0.7044739298690477,[-809.0400706886021],[0.0],[0.0],0.0,-1074.3993389587238,-225.01552218037546,216.28053537810283,24,0.0,24,True,0.75
209,0,False,0.7044647489166668,[-785.8067373552692],[0.0],[0.0],0.0,-1051.1660056253909,-201.78218884704256,216.26697603486224,24,0.0,24,True,0.75
210,0,False,0.7043423155833333,[-762.5734040219356],[0.0],[0.0],0.0,-1027.9326722920573,-178.548855513709,215.94617875231708,24,0.0,24,True,0.75
211,0,False,0.7133796691547619,[-749.479540463207],[0.0],[0.0],0.0,-1004.6993389587242,-155.31552218037586,213.43708343543116,24,0.0,24,True,0.75
212,0,False,0.71312555725,[-773.8431960675831],[0.0],[0.0],0.0,-966.0679180403578,-132.0821888470424,212.62640993262048,24,0.0,24,True,0.75
213,0,False,0.71312555725,[-750.6098627342496],[0.0],[0.0],0.0,-942.8345847070243,-108.84885551370894,212.62640993262048,24,0.0,24,True,0.75
214,0,False,0.7097991566335405,[-712.5456732231507],[0.0],[0.0],0.0,-919.6012513736912,-85.61552218037582,212.83497888744697,24,0.0,23,True,0.75
