generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
180,0,False,0.8297689930952382,[-1376.2624239411105],[0.0],[0.0],0.0,-1748.9245289556404,-192.67626570940638,331.83771108200546,24,0.0,24,False,,
181,0,False,0.8297689930952382,[-1353.0290906077769],[0.0],[0.0],0.0,-1725.6911956223069,-169.4429323760728,331.83771108200546,24,0.0,24,False,,
182,0,False,0.8294741397619049,[-1326.288841325614],[0.0],[0.0],0.0,-1702.4578622889735,-146.20959904273946,332.20146073410757,24,0.0,24,False,,
183,0,False,0.8242561327380953,[-1338.8979672173746],[0.0],[0.0],0.0,-1679.2245289556404,-122.97626570940633,327.9659501896646,24,0.0,24,False,,
184,0,False,0.8252936471428572,[-1300.8596330646092],[0.0],[0.0],0.0,-1655.9911956223068,-99.74293237607276,322.4664418622232,24,0.0,24,False,,
185,0,False,0.8122778589285714,[-1338.00097173487],[0.0],[0.0],0.0,-1632.7578622889735,-931.2413284132774,208.87999635971434,24,0.0,24,False,,
186,0,False,0.8084298946190476,[-1318.009104008226],[0.0],[0.0],0.0,-1609.5245289556403,-908.1742201464779,212.768461175583,24,0.0,24,False,,
187,0,False,0.7937895999761905,[-1319.0810789710467],[0.0],[0.0],0.0,-1586.2911956223068,-884.9408868131443,220.23792256811504,24,0.0,24,False,,
188,0,False,0.7871038666428571,[-1307.0807248137105],[0.0],[0.0],0.0,-1563.0578622889736,-861.7075534798112,206.41728731757436,24,0.0,24,False,,
189,0,False,0.7913531202142856,[-1283.139817393983],[0.0],[0.0],0.0,-1539.8245289556403,-838.4742201464778,201.28414498442007,24,0.0,24,False,,
190,0,False,0.7838860818809524,[-1240.6520602987466],[0.0],[0.0],0.0,-1516.5902482460278,-815.2408868131442,200.06354340517458,24,0.0,24,False,,
191,0,False,0.7838860818809524,[-1217.4187269654137],[0.0],[0.0],0.0,-1493.3569149126947,-792.0075534798111,200.06354340517458,24,0.0,24,False,,
192,0,False,0.7831659808095237,[-1209.9466031506108],[0.0],[0.0],0.0,-1470.1235815793614,-768.7742201464778,202.73469293616208,24,0.0,24,False,,
193,0,False,0.7752650036666666,[-1182.1830038684136],[0.0],[0.0],0.0,-1446.8902482460282,-745.5408868131447,202.93930516490994,24,0.0,24,False,,
194,0,False,0.7752650036666666,[-1158.94967053508],[0.0],[0.0],0.0,-1423.6569149126947,-722.3075534798111,202.93930516490994,24,0.0,24,False,,
195,0,False,0.7861292078333332,[-1087.0384551921795],[0.0],[0.0],0.0,-1400.4235815793613,-698.1602194234301,215.8499603650151,24,0.0,24,False,,
196,0,False,0.786253247595238,[-1063.5373682344216],[0.0],[0.0],0.0,-1377.190248246028,-675.8408868131444,215.24658492039154,24,0.0,24,False,,
197,0,False,0.7803200939047619,[-1038.8793074001435],[0.0],[0.0],0.0,-1353.9569149126946,-652.607553479811,215.50942459615334,24,0.0,24,False,,
198,0,False,0.7810957402142856,[-1017.9470069197464],[0.0],[0.0],0.0,-1330.7235815793617,-629.3742201464781,213.02435278482753,24,0.0,24,False,,
199,0,False,0.7809231572380951,[-1006.542946982936],[0.0],[0.0],0.0,-1307.490248246028,-606.1408868131443,199.06828484340065,24,0.0,24,False,,
200,0,False,0.780044471404762,[-986.5737721982036],[0.0],[0.0],0.0,-1284.2569149126946,-582.907553479811,197.81690468071744,24,0.0,24,False,,
201,0,False,0.780044471404762,[-963.3404388648706],[0.0],[0.0],0.0,-1261.0235815793617,-559.6742201464781,197.81690468071744,24,0.0,24,False,,
202,0,False,0.780044471404762,[-940.107105531537],[0.0],[0.0],0.0,-1237.7902482460279,-536.4408868131443,197.81690468071744,24,0.0,24,False,,
203,0,False,0.780666387952381,[-938.4654108428258],[0.0],[0.0],0.0,-1214.9433323773796,-513.2075534798109,200.8685559318877,24,0.0,24,False,,
204,0,False,0.7707733049523809,[-899.1332020358028],[0.0],[0.0],0.0,-1191.7099990440468,-489.97422014647805,209.07938208792763,24,0.0,24,False,,
205,0,False,0.7811135822142857,[-884.536878102975],[0.0],[0.0],0.0,-1168.476665710713,-466.74088681314424,219.2890785031314,24,0.0,24,False,,
206,0,False,0.7782837570952381,[-870.8582209426146],[0.0],[0.0],0.0,-1145.24333237738,-443.50755347981135,213.30856094197324,24,0.0,24,False,,
207,0,False,0.7629899085238095,[-882.2685633601074],[0.0],[0.0],0.0,-1122.0099990440465,-420.2742201464778,218.65944431525452,24,0.0,24,False,,
208,0,False,0.7598040528095238,[-843.4782006001648],[0.0],[0.0],0.0,-1098.776665710713,-397.0408868131442,214.17315436551291,24,0.0,24,False,,
209,0,False,0.7609971075714285,[-835.2255869891056],[0.0],[0.0],0.0,-1075.54333237738,-373.8075534798113,218.1113694384132,24,0.0,24,False,,
210,0,False,0.7546194412619047,[-840.7098813031731],[0.0],[0.0],0.0,-1052.3099990440464,-478.6172222054938,200.09761641021083,24,0.0,24,False,,
211,0,False,0.7506181454285715,[-808.9440645586889],[0.0],[0.0],0.0,-1029.0766657107133,-455.3838888721607,208.77148075250946,24,0.0,24,False,,
